M_GeV,seesaw_line_NO,seesaw_line_IO,NO_total_lower,NO_total_upper,NO_e_lower,NO_e_upper,NO_mu_lower,NO_mu_upper,NO_tau_lower,NO_tau_upper,IO_total_lower,IO_total_upper,IO_e_lower,IO_e_upper,IO_mu_lower,IO_mu_upper,IO_tau_lower,IO_tau_upper
3.917101e+01,1.499017e-12,2.532820e-12,1.499017e-12,5.674899e-10,3.858834e-14,6.773886e-11,7.593876e-13,4.821950e-10,5.357342e-13,3.811027e-10,2.532820e-12,1.881407e-10,5.223532e-13,1.756369e-10,1.760771e-13,7.990154e-11,3.567030e-13,1.051843e-10
4.055461e+01,1.447875e-12,2.446408e-12,1.447875e-12,5.453038e-10,3.727934e-14,6.509060e-11,7.332274e-13,4.633435e-10,5.171327e-13,3.662035e-10,2.446408e-12,1.785616e-10,5.054983e-13,1.666941e-10,1.696997e-13,7.583327e-11,3.457153e-13,9.982871e-11
4.198707e+01,1.398478e-12,2.362944e-12,1.398478e-12,5.247040e-10,3.601345e-14,6.263168e-11,7.080170e-13,4.458399e-10,4.992362e-13,3.523694e-10,2.362944e-12,1.695520e-10,4.891991e-13,1.582830e-10,1.635458e-13,7.200686e-11,3.350831e-13,9.479154e-11
4.347013e+01,1.350767e-12,2.282328e-12,1.350767e-12,5.055265e-10,3.478936e-14,6.034254e-11,6.837181e-13,4.295448e-10,4.820127e-13,3.394906e-10,2.282328e-12,1.610687e-10,4.734361e-13,1.503634e-10,1.576083e-13,6.840401e-11,3.247931e-13,9.004866e-11
4.500558e+01,1.304683e-12,2.204463e-12,1.304683e-12,4.876214e-10,3.360579e-14,5.820529e-11,6.602936e-13,4.143309e-10,4.654314e-13,3.274663e-10,2.204463e-12,1.530723e-10,4.581903e-13,1.428982e-10,1.518805e-13,6.500790e-11,3.148325e-13,8.557795e-11
4.659526e+01,1.260172e-12,2.129254e-12,1.260172e-12,4.708515e-10,3.246153e-14,5.620354e-11,6.377079e-13,4.000816e-10,4.494629e-13,3.162043e-10,2.129254e-12,1.455264e-10,4.434435e-13,1.358536e-10,1.463559e-13,6.180314e-11,3.051890e-13,8.135912e-11
4.824109e+01,1.217179e-12,2.056610e-12,1.217179e-12,4.550912e-10,3.135538e-14,5.432230e-11,6.159265e-13,3.866901e-10,4.340789e-13,3.056204e-10,2.056610e-12,1.383977e-10,4.291781e-13,1.291985e-10,1.410280e-13,5.877558e-11,2.958507e-13,7.737358e-11
4.994505e+01,1.175652e-12,1.986445e-12,1.175652e-12,4.402256e-10,3.028620e-14,5.254786e-11,5.949165e-13,3.740588e-10,4.192528e-13,2.956372e-10,1.986445e-12,1.316558e-10,4.153773e-13,1.229045e-10,1.358906e-13,5.591228e-11,2.868065e-13,7.360427e-11
5.170920e+01,1.135543e-12,1.918674e-12,1.135543e-12,4.261496e-10,2.925286e-14,5.086767e-11,5.746461e-13,3.620985e-10,4.049589e-13,2.861844e-10,1.918674e-12,1.252727e-10,4.020250e-13,1.169455e-10,1.309375e-13,5.320139e-11,2.780455e-13,7.003559e-11
5.353567e+01,1.096802e-12,1.853215e-12,1.096802e-12,4.127675e-10,2.825428e-14,4.927030e-11,5.550850e-13,3.507277e-10,3.911730e-13,2.771975e-10,1.853215e-12,1.192229e-10,3.891054e-13,1.112977e-10,1.261629e-13,5.063206e-11,2.695574e-13,6.665326e-11
5.542665e+01,1.059382e-12,1.789990e-12,1.059382e-12,3.999922e-10,2.728941e-14,4.774537e-11,5.362043e-13,3.398726e-10,3.778723e-13,2.686182e-10,1.789990e-12,1.134831e-10,3.766037e-13,1.059393e-10,1.215608e-13,4.819438e-11,2.613323e-13,6.344425e-11
5.738442e+01,1.023240e-12,1.728921e-12,1.023240e-12,3.877451e-10,2.635721e-14,4.628348e-11,5.179764e-13,3.294662e-10,3.650348e-13,2.603935e-10,1.728921e-12,1.080320e-10,3.645054e-13,1.008504e-10,1.171256e-13,4.587931e-11,2.533608e-13,6.039663e-11
5.941134e+01,9.883301e-13,1.669936e-12,9.883301e-13,3.759552e-10,2.545669e-14,4.487617e-11,5.003750e-13,3.194484e-10,3.526403e-13,2.524759e-10,1.669936e-12,1.028502e-10,3.527968e-13,9.601283e-11,1.128517e-13,4.367860e-11,2.456339e-13,5.749957e-11
6.150986e+01,9.546115e-13,1.612963e-12,9.546115e-13,3.645593e-10,2.458685e-14,4.351590e-11,4.833749e-13,3.097654e-10,3.406692e-13,2.448229e-10,1.612963e-12,9.791999e-11,3.414644e-13,9.141020e-11,1.087337e-13,4.158475e-11,2.381430e-13,5.474318e-11
6.368250e+01,9.220432e-13,1.557934e-12,9.220432e-13,3.535017e-10,2.374675e-14,4.219600e-11,4.669525e-13,3.003698e-10,3.291036e-13,2.373971e-10,1.557934e-12,9.322529e-11,3.304957e-13,8.702746e-11,1.047663e-13,3.959093e-11,2.308800e-13,5.211847e-11
6.593188e+01,8.905860e-13,1.504782e-12,8.905860e-13,3.427335e-10,2.293544e-14,4.091065e-11,4.510852e-13,2.912201e-10,3.179263e-13,2.301656e-10,1.504782e-12,8.875152e-11,3.198782e-13,8.285097e-11,1.009444e-13,3.769095e-11,2.238370e-13,4.961728e-11
6.826072e+01,8.602021e-13,1.453444e-12,8.602021e-13,3.322130e-10,2.215200e-14,3.965485e-11,4.357516e-13,2.822808e-10,3.071214e-13,2.231004e-10,1.453444e-12,8.448546e-11,3.096002e-13,7.886839e-11,9.726288e-14,3.587917e-11,2.170066e-13,4.723222e-11
7.067181e+01,8.308548e-13,1.403857e-12,8.308548e-13,3.219047e-10,2.139556e-14,3.842440e-11,4.209315e-13,2.735219e-10,2.966739e-13,2.161778e-10,1.403857e-12,8.041508e-11,2.996505e-13,7.506851e-11,9.371688e-14,3.415051e-11,2.103818e-13,4.495657e-11
7.316807e+01,8.025087e-13,1.355962e-12,8.025087e-13,3.117799e-10,2.066521e-14,3.721585e-11,4.066057e-13,2.649188e-10,2.865699e-13,2.093784e-10,1.355962e-12,7.652952e-11,2.900182e-13,7.144117e-11,9.030161e-14,3.250034e-11,2.039557e-13,4.278425e-11
7.575250e+01,7.751297e-13,1.309701e-12,7.751297e-13,3.018157e-10,1.996012e-14,3.602646e-11,3.927561e-13,2.564523e-10,2.767962e-13,2.026869e-10,1.309701e-12,7.281892e-11,2.806928e-13,6.797716e-11,8.701241e-14,3.092448e-11,1.977221e-13,4.070975e-11
7.842822e+01,7.486848e-13,1.265018e-12,7.486848e-13,2.919949e-10,1.927944e-14,3.485420e-11,3.793655e-13,2.481076e-10,2.673408e-13,1.960917e-10,1.265018e-12,6.927434e-11,2.716644e-13,6.466815e-11,8.384476e-14,2.941913e-11,1.916747e-13,3.872807e-11
8.119845e+01,7.231421e-13,1.221860e-12,7.231421e-13,2.823058e-10,1.862235e-14,3.369765e-11,3.664179e-13,2.398748e-10,2.581921e-13,1.895849e-10,1.221860e-12,6.588767e-11,2.629233e-13,6.150656e-11,8.079424e-14,2.798084e-11,1.858077e-13,3.683468e-11
8.406653e+01,6.984708e-13,1.180174e-12,6.984708e-13,2.727413e-10,1.798806e-14,3.255598e-11,3.538977e-13,2.317479e-10,2.493397e-13,1.831618e-10,1.180174e-12,6.265153e-11,2.544603e-13,5.848550e-11,7.785659e-14,2.660649e-11,1.801156e-13,3.502545e-11
8.703591e+01,6.746412e-13,1.139910e-12,6.746412e-13,2.632989e-10,1.737578e-14,3.142888e-11,3.417906e-13,2.237247e-10,2.407734e-13,1.768206e-10,1.139910e-12,5.955917e-11,2.462664e-13,5.559867e-11,7.502763e-14,2.529320e-11,1.745931e-13,3.329660e-11
9.011018e+01,6.516246e-13,1.101020e-12,6.516246e-13,2.539798e-10,1.678476e-14,3.031650e-11,3.300826e-13,2.158063e-10,2.324840e-13,1.705623e-10,1.101020e-12,5.660442e-11,2.383331e-13,5.284032e-11,7.230334e-14,2.403836e-11,1.692352e-13,3.164470e-11
9.329304e+01,6.293933e-13,1.063457e-12,6.293933e-13,2.447886e-10,1.621425e-14,2.921938e-11,3.187608e-13,2.079964e-10,2.244626e-13,1.643898e-10,1.063457e-12,5.378161e-11,2.306522e-13,5.020514e-11,6.967982e-14,2.283955e-11,1.640369e-13,3.006655e-11
9.658832e+01,6.079204e-13,1.027175e-12,6.079204e-13,2.357323e-10,1.566354e-14,2.813837e-11,3.078127e-13,2.003014e-10,2.167011e-13,1.583081e-10,1.027175e-12,5.108547e-11,2.232156e-13,4.768820e-11,6.715327e-14,2.169453e-11,1.589936e-13,2.855923e-11
1.000000e+02,5.871801e-13,9.921311e-13,5.871801e-13,2.268205e-10,1.513193e-14,2.707461e-11,2.972263e-13,1.927290e-10,2.091916e-13,1.523232e-10,9.921311e-13,4.851108e-11,2.160158e-13,4.528494e-11,6.472004e-14,2.060123e-11,1.541009e-13,2.711998e-11
