M_GeV,seesaw_line_NO,seesaw_line_IO,NO_total_lower,NO_total_upper,NO_e_lower,NO_e_upper,NO_mu_lower,NO_mu_upper,NO_tau_lower,NO_tau_upper,IO_total_lower,IO_total_upper,IO_e_lower,IO_e_upper,IO_mu_lower,IO_mu_upper,IO_tau_lower,IO_tau_upper
3.489101e-01,1.682898e-10,2.843515e-10,2.286815e-10,2.428402e-05,4.985523e-12,2.898685e-06,1.080094e-10,2.063411e-05,7.555363e-11,1.630817e-05,3.916258e-10,5.069907e-06,6.256815e-11,4.733206e-06,2.215965e-11,2.153254e-06,4.188440e-11,2.834590e-06
3.612343e-01,1.625483e-10,2.746503e-10,2.143647e-10,2.328810e-05,4.788666e-12,2.779806e-06,1.026385e-10,1.978788e-05,7.187196e-11,1.563935e-05,3.681271e-10,4.842677e-06,5.977117e-11,4.521067e-06,2.125147e-11,2.056746e-06,3.996126e-11,2.707545e-06
3.739937e-01,1.570027e-10,2.652802e-10,2.013802e-10,2.231042e-05,4.602758e-12,2.663105e-06,9.767508e-11,1.895715e-05,6.846807e-11,1.498278e-05,3.466010e-10,4.622929e-06,5.713371e-11,4.315913e-06,2.038851e-11,1.963417e-06,3.815209e-11,2.584684e-06
3.872039e-01,1.516462e-10,2.562297e-10,1.895805e-10,2.135151e-05,4.426914e-12,2.548643e-06,9.308133e-11,1.814236e-05,6.531645e-11,1.433881e-05,3.268564e-10,4.410488e-06,5.464555e-11,4.117580e-06,1.956825e-11,1.873190e-06,3.644932e-11,2.465908e-06
4.008806e-01,1.464726e-10,2.474879e-10,1.788348e-10,2.041185e-05,4.260328e-12,2.436480e-06,8.882259e-11,1.734393e-05,6.239378e-11,1.370777e-05,3.087207e-10,4.205187e-06,5.229708e-11,3.925914e-06,1.878828e-11,1.785996e-06,3.484584e-11,2.351124e-06
4.150405e-01,1.414754e-10,2.390444e-10,1.690270e-10,1.949193e-05,4.102264e-12,2.326674e-06,8.486731e-11,1.656228e-05,5.967881e-11,1.309000e-05,2.920379e-10,4.006872e-06,5.007923e-11,3.740769e-06,1.804632e-11,1.701769e-06,3.333495e-11,2.240246e-06
4.297005e-01,1.366487e-10,2.308890e-10,1.600545e-10,1.859226e-05,3.952058e-12,2.219283e-06,8.118673e-11,1.579783e-05,5.715214e-11,1.248581e-05,2.766674e-10,3.815393e-06,4.798348e-11,3.562006e-06,1.734020e-11,1.620446e-06,3.191039e-11,2.133190e-06
4.448783e-01,1.319867e-10,2.230118e-10,1.518262e-10,1.771331e-05,3.809108e-12,2.114366e-06,7.775471e-11,1.505098e-05,5.479611e-11,1.189554e-05,2.624823e-10,3.630608e-06,4.600182e-11,3.389494e-06,1.666787e-11,1.541965e-06,3.056630e-11,2.029877e-06
4.605922e-01,1.274837e-10,2.154034e-10,1.442614e-10,1.685556e-05,3.672871e-12,2.011981e-06,7.454747e-11,1.432216e-05,5.259465e-11,1.131952e-05,2.493686e-10,3.452380e-06,4.412674e-11,3.223102e-06,1.602737e-11,1.466270e-06,2.929717e-11,1.930229e-06
4.768612e-01,1.231344e-10,2.080545e-10,1.372889e-10,1.601951e-05,3.542857e-12,1.912184e-06,7.154346e-11,1.361176e-05,5.053316e-11,1.075806e-05,2.372234e-10,3.280575e-06,4.235121e-11,3.062707e-06,1.541687e-11,1.393302e-06,2.809790e-11,1.834173e-06
4.937048e-01,1.189335e-10,2.009564e-10,1.308454e-10,1.520561e-05,3.418625e-12,1.815033e-06,6.872314e-11,1.292020e-05,4.859839e-11,1.021148e-05,2.259542e-10,3.115062e-06,4.066865e-11,2.908186e-06,1.483463e-11,1.323006e-06,2.696368e-11,1.741634e-06
5.111433e-01,1.148758e-10,1.941004e-10,1.248749e-10,1.441435e-05,3.299780e-12,1.720582e-06,6.606882e-11,1.224786e-05,4.677833e-11,9.680095e-06,2.154778e-10,2.955712e-06,3.907291e-11,2.759418e-06,1.427902e-11,1.255329e-06,2.589007e-11,1.652542e-06
5.291979e-01,1.109566e-10,1.874783e-10,1.193279e-10,1.364617e-05,3.185963e-12,1.628888e-06,6.356454e-11,1.159514e-05,4.506210e-11,9.164218e-06,2.057196e-10,2.802398e-06,3.755826e-11,2.616286e-06,1.374849e-11,1.190214e-06,2.487291e-11,1.566824e-06
5.478901e-01,1.071712e-10,1.810821e-10,1.141606e-10,1.290152e-05,3.076855e-12,1.540002e-06,6.119594e-11,1.096241e-05,4.343987e-11,8.664140e-06,1.966122e-10,2.654992e-06,3.611934e-11,2.478670e-06,1.324160e-11,1.127609e-06,2.390836e-11,1.484409e-06
5.672426e-01,1.035148e-10,1.749042e-10,1.093344e-10,1.218081e-05,2.972164e-12,1.453974e-06,5.895007e-11,1.035002e-05,4.190279e-11,8.180141e-06,1.880954e-10,2.513369e-06,3.475117e-11,2.346452e-06,1.275698e-11,1.067460e-06,2.299283e-11,1.405227e-06
5.872787e-01,9.998323e-11,1.689370e-10,1.048149e-10,1.148443e-05,2.871629e-12,1.370850e-06,5.681538e-11,9.758308e-06,4.044287e-11,7.712478e-06,1.801151e-10,2.377401e-06,3.344913e-11,2.219513e-06,1.229336e-11,1.009712e-06,2.212299e-11,1.329207e-06
6.080224e-01,9.657212e-11,1.631734e-10,1.005718e-10,1.081272e-05,2.775012e-12,1.290670e-06,5.478152e-11,9.187555e-06,3.905296e-11,7.261384e-06,1.726225e-10,2.246962e-06,3.220889e-11,2.097737e-06,1.184953e-11,9.543131e-07,2.129575e-11,1.256279e-06
6.294989e-01,9.327739e-11,1.576065e-10,9.657850e-11,1.016597e-05,2.682095e-12,1.213471e-06,5.283928e-11,8.638018e-06,3.772667e-11,6.827057e-06,1.655741e-10,2.121924e-06,3.102645e-11,1.981004e-06,1.142438e-11,9.012082e-07,2.050827e-11,1.186370e-06
6.517340e-01,9.009507e-11,1.522295e-10,9.281127e-11,9.544434e-06,2.592679e-12,1.139281e-06,5.098052e-11,8.109898e-06,3.645826e-11,6.409657e-06,1.589308e-10,2.002161e-06,2.989810e-11,1.869194e-06,1.101686e-11,8.503431e-07,1.975790e-11,1.119410e-06
6.747544e-01,8.702131e-11,1.470359e-10,8.924927e-11,8.948276e-06,2.506582e-12,1.068120e-06,4.919805e-11,7.603343e-06,3.524267e-11,6.009302e-06,1.526576e-10,1.887543e-06,2.882041e-11,1.762188e-06,1.062598e-11,8.016636e-07,1.904219e-11,1.055327e-06
6.985880e-01,8.405243e-11,1.420195e-10,8.587407e-11,8.377599e-06,2.423634e-12,1.000000e-06,4.748555e-11,7.118439e-06,3.407541e-11,5.626058e-06,1.467230e-10,1.777943e-06,2.779016e-11,1.659867e-06,1.025082e-11,7.551150e-07,1.835889e-11,9.940498e-07
7.232634e-01,8.118483e-11,1.371743e-10,8.266943e-11,7.832423e-06,2.343678e-12,9.349247e-07,4.583752e-11,6.655203e-06,3.295249e-11,5.259940e-06,1.410989e-10,1.673231e-06,2.680442e-11,1.562109e-06,9.890538e-12,7.106424e-07,1.770589e-11,9.355051e-07
7.488104e-01,7.841506e-11,1.324943e-10,7.962097e-11,7.312683e-06,2.266564e-12,8.728854e-07,4.424915e-11,6.213581e-06,3.187045e-11,4.910903e-06,1.357600e-10,1.573277e-06,2.586046e-11,1.468793e-06,9.544323e-12,6.681908e-07,1.708128e-11,8.796209e-07
7.752597e-01,7.573980e-11,1.279740e-10,7.671601e-11,6.818227e-06,2.192154e-12,8.138642e-07,4.271634e-11,5.793442e-06,3.082625e-11,4.578846e-06,1.306838e-10,1.477952e-06,2.495573e-11,1.379799e-06,9.211434e-12,6.277050e-07,1.648328e-11,8.263246e-07
8.026434e-01,7.315580e-11,1.236080e-10,7.394335e-11,6.348812e-06,2.120317e-12,7.578321e-07,4.123551e-11,5.394581e-06,2.981724e-11,4.263607e-06,1.258500e-10,1.387125e-06,2.408793e-11,1.295004e-06,8.891180e-12,5.891298e-07,1.591024e-11,7.755433e-07
8.309942e-01,7.065996e-11,1.193909e-10,7.129308e-11,5.904108e-06,2.050929e-12,7.047495e-07,3.980366e-11,5.016716e-06,2.884113e-11,3.964961e-06,1.212406e-10,1.300667e-06,2.325488e-11,1.214288e-06,8.582915e-12,5.524100e-07,1.536067e-11,7.272045e-07
8.603464e-01,6.824927e-11,1.153176e-10,6.875641e-11,5.483693e-06,1.983870e-12,6.545663e-07,3.841821e-11,4.659490e-06,2.789595e-11,3.682627e-06,1.168391e-10,1.218447e-06,2.245460e-11,1.137528e-06,8.286039e-12,5.174902e-07,1.483316e-11,6.812353e-07
8.907355e-01,6.592082e-11,1.113834e-10,6.632556e-11,5.087065e-06,1.919030e-12,6.072224e-07,3.707698e-11,4.322475e-06,2.698003e-11,3.416268e-06,1.126311e-10,1.140336e-06,2.168526e-11,1.064604e-06,7.999996e-12,4.843152e-07,1.432644e-11,6.375631e-07
9.221979e-01,6.367182e-11,1.075833e-10,6.399361e-11,4.713641e-06,1.856302e-12,5.626483e-07,3.577816e-11,4.005177e-06,2.609192e-11,3.165492e-06,1.086034e-10,1.066203e-06,2.094517e-11,9.953948e-07,7.724267e-12,4.528301e-07,1.383933e-11,5.961153e-07
9.547716e-01,6.149954e-11,1.039129e-10,6.175390e-11,4.362785e-06,1.795572e-12,5.207680e-07,3.451992e-11,3.707055e-06,2.523019e-11,2.929871e-06,1.047439e-10,9.959206e-07,2.023274e-11,9.297799e-07,7.458361e-12,4.229802e-07,1.337071e-11,5.568203e-07
9.884959e-01,5.940137e-11,1.003678e-10,5.960157e-11,4.033753e-06,1.736762e-12,4.814928e-07,3.330133e-11,3.427477e-06,2.439408e-11,2.708906e-06,1.010425e-10,9.293582e-07,1.954656e-11,8.676380e-07,7.201844e-12,3.947103e-07,1.291963e-11,5.196052e-07
1.023411e+00,5.737479e-11,9.694353e-11,5.753167e-11,3.725775e-06,1.679782e-12,4.447307e-07,3.212125e-11,3.165788e-06,2.358267e-11,2.502080e-06,9.748960e-11,8.663878e-07,1.888531e-11,8.088495e-07,6.954298e-12,3.679659e-07,1.248516e-11,4.843984e-07
1.059560e+00,5.541735e-11,9.363613e-11,5.553973e-11,3.438032e-06,1.624545e-12,4.103840e-07,3.097873e-11,2.921293e-06,2.279520e-11,2.308844e-06,9.407659e-11,8.068819e-07,1.824777e-11,7.532956e-07,6.715336e-12,3.426931e-07,1.206645e-11,4.511286e-07
1.096986e+00,5.352669e-11,9.044157e-11,5.362172e-11,3.169669e-06,1.570974e-12,3.783506e-07,2.987290e-11,2.693265e-06,2.203101e-11,2.128622e-06,9.079562e-11,7.507141e-07,1.763279e-11,7.008579e-07,6.484597e-12,3.188378e-07,1.166272e-11,4.197251e-07
1.135733e+00,5.170053e-11,8.735599e-11,5.177398e-11,2.919803e-06,1.518993e-12,3.485251e-07,2.880300e-11,2.480954e-06,2.128952e-11,1.960822e-06,8.763959e-11,6.977584e-07,1.703935e-11,6.514191e-07,6.261747e-12,2.963469e-07,1.127324e-11,3.901175e-07
1.175850e+00,4.993667e-11,8.437569e-11,4.999316e-11,2.687534e-06,1.468534e-12,3.208001e-07,2.776831e-11,2.283596e-06,2.057021e-11,1.804840e-06,8.460202e-11,6.478903e-07,1.646646e-11,6.048628e-07,6.046473e-12,2.751673e-07,1.089736e-11,3.622362e-07
1.217383e+00,4.823299e-11,8.149706e-11,4.827621e-11,2.471952e-06,1.419535e-12,2.950669e-07,2.676817e-11,2.100416e-06,1.987263e-11,1.660063e-06,8.167702e-11,6.009861e-07,1.591324e-11,5.610736e-07,5.838483e-12,2.552465e-07,1.053446e-11,3.360120e-07
1.260383e+00,4.658744e-11,7.871664e-11,4.662031e-11,2.272146e-06,1.371937e-12,2.712169e-07,2.580190e-11,1.930640e-06,1.919634e-11,1.525882e-06,7.885917e-11,5.569235e-07,1.537885e-11,5.199373e-07,5.637504e-12,2.365325e-07,1.018397e-11,3.113766e-07
1.304902e+00,4.499803e-11,7.603109e-11,4.502287e-11,2.087211e-06,1.325689e-12,2.491420e-07,2.486886e-11,1.773502e-06,1.854092e-11,1.401687e-06,7.614351e-11,5.155816e-07,1.486252e-11,4.813410e-07,5.443281e-12,2.189741e-07,9.845352e-12,2.882623e-07
1.350994e+00,4.346284e-11,7.343715e-11,4.348146e-11,1.916258e-06,1.280744e-12,2.287360e-07,2.396836e-11,1.628243e-06,1.790600e-11,1.286882e-06,7.352546e-11,4.768408e-07,1.436354e-11,4.451730e-07,5.255574e-12,2.025204e-07,9.518127e-12,2.666022e-07
1.398713e+00,4.198003e-11,7.093171e-11,4.199383e-11,1.758414e-06,1.237059e-12,2.098948e-07,2.309972e-11,1.494123e-06,1.729117e-11,1.180880e-06,7.100077e-11,4.405834e-07,1.388123e-11,4.113235e-07,5.074159e-12,1.871214e-07,9.201833e-12,2.463307e-07
1.448118e+00,4.054780e-11,6.851175e-11,4.055789e-11,1.612833e-06,1.194598e-12,1.925173e-07,2.226223e-11,1.370423e-06,1.669605e-11,1.083113e-06,6.856550e-11,4.066933e-07,1.341496e-11,3.796841e-07,4.898822e-12,1.727278e-07,8.896045e-12,2.273827e-07
1.499268e+00,3.916444e-11,6.617435e-11,3.917168e-11,1.478696e-06,1.153327e-12,1.765059e-07,2.145514e-11,1.256447e-06,1.612025e-11,9.930325e-07,6.621598e-11,3.750565e-07,1.296416e-11,3.501484e-07,4.729363e-12,1.592913e-07,8.600363e-12,2.096945e-07
1.552225e+00,3.782828e-11,6.391670e-11,3.783335e-11,1.355216e-06,1.113218e-12,1.617667e-07,2.067770e-11,1.151526e-06,1.556336e-11,9.101088e-07,6.394876e-11,3.455610e-07,1.252826e-11,3.226117e-07,4.565590e-12,1.467642e-07,8.314412e-12,1.932036e-07
1.607053e+00,3.653770e-11,6.173606e-11,3.654112e-11,1.241642e-06,1.074243e-12,1.482099e-07,1.992910e-11,1.055023e-06,1.502498e-11,8.338371e-07,6.176063e-11,3.180971e-07,1.210675e-11,2.969718e-07,4.407324e-12,1.350999e-07,8.037839e-12,1.778485e-07
